City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Jieznas,LT,2022-04-15 23:04:36,54.6,24.1667,36.99,79,100,14.09
138,Rusape,ZW,2022-04-15 23:04:36,-18.5278,32.1284,62.37,88,50,3.11
139,Chany,RU,2022-04-15 23:04:36,55.3121,76.7647,45.91,54,47,10.33
140,Ostrovnoy,RU,2022-04-15 23:04:37,68.0531,39.5131,20.43,91,60,7.38
141,Lichtenburg,ZA,2022-04-15 23:04:37,-26.152,26.1597,58.19,85,100,8.01
142,Aksu,CN,2022-04-15 23:04:37,41.1231,80.2644,59.34,15,85,8.88
143,Necochea,AR,2022-04-15 23:04:38,-38.5473,-58.7368,57.85,66,0,9.28
144,Cabo San Lucas,MX,2022-04-15 23:04:38,22.8909,-109.9124,86.61,26,20,9.22
145,Harper,LR,2022-04-15 23:04:38,4.375,-7.7169,79.93,86,100,7.0
146,Chokurdakh,RU,2022-04-15 23:04:39,70.6333,147.9167,10.63,91,100,5.53
147,Port Hedland,AU,2022-04-15 23:04:39,-20.3167,118.5667,78.85,83,12,0.0
148,Naze,JP,2022-04-15 23:04:39,28.3667,129.4833,64.31,63,87,20.54
149,Virginia Beach,US,2022-04-15 23:03:46,36.8529,-75.978,64.06,35,40,10.36
150,Agadir,MA,2022-04-15 23:04:40,30.4202,-9.5982,61.25,43,41,5.93
151,Srednekolymsk,RU,2022-04-15 23:04:40,67.45,153.6833,14.63,87,95,4.79
152,Mollendo,PE,2022-04-15 23:04:40,-17.0231,-72.0147,66.69,82,86,9.19
153,Hofn,IS,2022-04-15 23:03:14,64.2539,-15.2082,45.23,92,68,3.22
154,Ambilobe,MG,2022-04-15 23:04:41,-13.2,49.05,74.7,82,65,4.32
155,Mbini,GQ,2022-04-15 23:04:41,1.574,9.6134,79.45,84,92,5.12
156,Saint Anthony,US,2022-04-15 23:04:41,45.0205,-93.218,33.35,56,100,17.27
157,Codrington,AU,2022-04-15 23:04:42,-38.2667,141.9667,63.23,79,36,4.23
158,Thompson,CA,2022-04-15 23:04:25,55.7435,-97.8558,24.55,71,100,10.71
159,Sao Filipe,CV,2022-04-15 23:04:42,14.8961,-24.4956,71.06,78,4,8.79
160,Constitucion,CL,2022-04-15 23:04:42,-35.3333,-72.4167,52.43,89,1,8.52
161,Shache,CN,2022-04-15 23:04:43,38.4167,77.2406,60.42,26,10,6.38
