City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Naze,JP,63.52,overcast clouds,28.3667,129.4833,Shishime Hotel
151,Baculin,PH,76.69,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
152,Georgetown,MY,80.55,thunderstorm,5.4112,100.3354,Cititel Penang
153,Sitka,US,44.33,clear sky,57.0531,-135.33,Westmark Sitka
154,Qingyuan,CN,73.38,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
155,La Asuncion,VE,78.37,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
156,Sao Filipe,CV,71.47,clear sky,14.8961,-24.4956,Hotel Xaguate
157,Inirida,CO,78.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
158,Banda Aceh,ID,80.26,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
159,Roseburg,US,54.18,overcast clouds,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
160,Kudirkos Naumiestis,LT,38.21,overcast clouds,54.7731,22.8631,Border Lithuania-Russia
161,Iralaya,HN,82.8,overcast clouds,15.0,-83.2333,Iglesia morava renovada
162,Marfino,RU,44.51,light intensity shower rain,55.7028,37.3822,Nemchinovka-Park
163,Pauini,BR,77.32,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
164,Veracruz,MX,89.83,scattered clouds,19.3333,-96.6667,El Carrizal
165,Nikolskoye,RU,38.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
166,Sault Sainte Marie,CA,28.96,broken clouds,46.5168,-84.3333,Comfort Inn
168,Haines Junction,CA,37.35,clear sky,60.7522,-137.5108,Parkside Inn
169,Rantepao,ID,67.95,light rain,-2.9701,119.8978,Hotel Luta Resort
170,Bardiyah,LY,61.38,overcast clouds,31.7561,25.0865,بورتو بردية
171,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
174,Ladario,BR,84.29,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
175,Cabo San Lucas,MX,85.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
177,Mosquera,CO,68.09,broken clouds,4.7059,-74.2302,Hotel SJ
178,Sumbe,AO,77.31,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
181,Ribeira Grande,PT,60.37,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
182,Dicabisagan,PH,75.38,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
183,San Patricio,US,85.06,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
184,Richards Bay,ZA,68.63,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
185,Arraial Do Cabo,BR,73.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
186,Ojhar,IN,74.52,clear sky,20.1,73.9333,Aurangabad Deogaon Rangari
