City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Kutum,SD,14.2,24.6667,74.25,10,69,7.02,broken clouds
116,Boshnyakovo,RU,49.6333,142.1667,33.78,59,14,6.11,few clouds
117,Nanchang,CN,28.6833,115.8833,52.03,90,100,11.54,moderate rain
118,Kaeo,NZ,-35.1,173.7833,64.33,83,81,5.01,broken clouds
119,Chokurdakh,RU,70.6333,147.9167,9.63,93,100,4.74,overcast clouds
120,Karpathos,GR,35.507,27.2132,60.76,72,100,5.75,overcast clouds
121,Marquette,US,46.5333,-87.6335,29.34,49,100,13.35,overcast clouds
122,Saskylakh,RU,71.9167,114.0833,-13.81,100,94,6.62,overcast clouds
123,Tiksi,RU,71.6872,128.8694,-4.34,100,100,3.62,overcast clouds
124,Kiama,AU,-34.6833,150.8667,63.57,91,98,1.01,overcast clouds
125,New Norfolk,AU,-42.7826,147.0587,52.72,66,95,1.01,overcast clouds
126,Teya,RU,60.3778,92.6267,33.8,99,100,2.42,overcast clouds
127,Samarai,PG,-10.6167,150.6667,82.89,73,97,8.34,overcast clouds
128,Lufkin,US,31.3382,-94.7291,79.48,87,96,9.75,overcast clouds
129,Vysokogornyy,RU,50.1167,139.15,28.92,78,100,3.62,overcast clouds
130,Souillac,MU,-20.5167,57.5167,77.38,78,75,14.97,light rain
131,Bubaque,GW,11.2833,-15.8333,74.53,74,6,19.13,clear sky
132,Barra,BR,-11.0894,-43.1417,78.24,76,71,1.39,broken clouds
133,Longyearbyen,SJ,78.2186,15.6401,26.44,93,100,11.5,light snow
134,Castro,BR,-24.7911,-50.0119,53.01,63,0,3.24,clear sky
135,Verkhoyansk,RU,67.5447,133.385,2.64,98,97,2.44,overcast clouds
136,Salekhard,RU,66.53,66.6019,15.24,90,100,5.28,overcast clouds
137,North Platte,US,41.1239,-100.7654,48.11,34,48,13.0,scattered clouds
138,Port Elizabeth,ZA,-33.918,25.5701,57.49,79,0,3.0,clear sky
139,Ofunato,JP,39.0717,141.7167,41.31,83,100,9.84,light rain
140,Camaqua,BR,-30.8511,-51.8122,61.14,65,68,4.32,broken clouds
141,Basti,IN,26.8,82.7167,83.59,13,27,8.28,scattered clouds
142,Half Moon Bay,US,37.4636,-122.4286,72.54,59,0,8.05,clear sky
143,Adrar,MR,20.5022,-10.0711,81.66,12,16,5.06,few clouds
144,Corinto,GR,37.9407,22.9573,56.89,65,100,4.14,overcast clouds
145,Grand Gaube,MU,-20.0064,57.6608,77.4,85,26,11.01,light rain
146,Bengkulu,ID,-3.8004,102.2655,76.71,89,100,3.74,overcast clouds
147,Cidreira,BR,-30.1811,-50.2056,63.97,66,42,7.94,scattered clouds
148,Reo,BF,12.3167,-2.4667,92.8,26,100,7.52,overcast clouds
149,Lethem,GY,3.3803,-59.7968,80.65,69,40,13.8,scattered clouds
150,Naze,JP,28.3667,129.4833,63.52,64,99,21.0,overcast clouds
151,Baculin,PH,7.4525,126.5842,76.69,84,43,3.65,scattered clouds
152,Georgetown,MY,5.4112,100.3354,80.55,89,40,3.44,thunderstorm
153,Sitka,US,57.0531,-135.33,44.33,54,7,6.62,clear sky
154,Qingyuan,CN,23.7,113.0333,73.38,73,100,4.61,overcast clouds
155,La Asuncion,VE,11.0333,-63.8628,78.37,80,86,20.07,overcast clouds
156,Sao Filipe,CV,14.8961,-24.4956,71.47,76,4,9.53,clear sky
157,Inirida,CO,3.8653,-67.9239,78.44,90,87,0.94,overcast clouds
158,Banda Aceh,ID,5.5577,95.3222,80.26,79,94,3.04,overcast clouds
159,Roseburg,US,43.2165,-123.3417,54.18,41,92,1.01,overcast clouds
160,Kudirkos Naumiestis,LT,54.7731,22.8631,38.21,83,98,14.12,overcast clouds
161,Iralaya,HN,15.0,-83.2333,82.8,66,100,9.95,overcast clouds
162,Marfino,RU,55.7028,37.3822,44.51,86,75,4.47,light intensity shower rain
163,Pauini,BR,-7.7136,-66.9764,77.32,90,87,2.57,overcast clouds
164,Veracruz,MX,19.3333,-96.6667,89.83,46,50,9.73,scattered clouds
165,Nikolskoye,RU,59.7035,30.7861,38.88,82,96,12.53,overcast clouds
166,Sault Sainte Marie,CA,46.5168,-84.3333,28.96,69,75,16.11,broken clouds
167,Arman,RU,59.7,150.1667,16.02,70,100,6.08,overcast clouds
168,Haines Junction,CA,60.7522,-137.5108,37.35,30,5,6.91,clear sky
169,Rantepao,ID,-2.9701,119.8978,67.95,99,100,1.83,light rain
170,Bardiyah,LY,31.7561,25.0865,61.38,73,99,19.35,overcast clouds
171,Mahebourg,MU,-20.4081,57.7,77.29,78,75,14.97,broken clouds
172,Luderitz,NA,-26.6481,15.1594,57.99,71,0,16.37,clear sky
173,Barentu,ER,15.1139,37.5928,86.5,32,99,0.87,overcast clouds
174,Ladario,BR,-19.0047,-57.6017,84.29,57,0,5.75,clear sky
175,Cabo San Lucas,MX,22.8909,-109.9124,85.6,49,74,6.31,broken clouds
176,Tilichiki,RU,60.4667,166.1,22.24,85,94,5.61,overcast clouds
177,Mosquera,CO,4.7059,-74.2302,68.09,60,75,5.75,broken clouds
178,Sumbe,AO,-11.2061,13.8437,77.31,90,92,5.23,overcast clouds
179,Jinka,ET,5.65,36.65,62.98,96,99,3.11,moderate rain
180,Berdigestyakh,RU,62.0989,126.6992,20.97,96,100,3.91,overcast clouds
181,Ribeira Grande,PT,38.5167,-28.7,60.37,69,100,11.43,overcast clouds
182,Dicabisagan,PH,17.0818,122.4157,75.38,88,97,5.26,overcast clouds
183,San Patricio,US,28.017,-97.5169,85.06,59,70,16.69,broken clouds
184,Richards Bay,ZA,-28.783,32.0377,68.63,88,100,18.25,light rain
185,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,64,20,19.57,few clouds
186,Ojhar,IN,20.1,73.9333,74.52,48,0,7.85,clear sky
187,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,70.23,74,0,6.42,clear sky
188,Stephenville,US,32.2207,-98.2023,92.19,39,0,13.8,clear sky
189,Severo-Kurilsk,RU,50.6789,156.125,31.6,78,71,2.04,broken clouds
190,Pangnirtung,CA,66.1451,-65.7125,-0.4,71,0,4.61,clear sky
191,Faya,SA,18.3851,42.4509,66.31,38,91,5.57,overcast clouds
192,West Odessa,US,31.8424,-102.4988,95.41,3,80,19.62,broken clouds
193,Sinjar,IQ,36.3209,41.8754,58.24,32,91,8.59,overcast clouds
194,Kajaani,FI,64.2273,27.7285,33.85,64,0,2.3,clear sky
195,Bethel,US,41.3712,-73.414,67.05,31,12,8.01,few clouds
196,Phuket,TH,8.0,98.25,88.12,79,20,3.44,few clouds
197,Marmora,IT,44.4583,7.094,52.47,72,9,2.66,clear sky
198,Vardo,NO,70.3705,31.1107,35.74,88,100,24.34,light rain
199,Hashtrud,IR,37.4779,47.0508,43.34,67,96,4.92,overcast clouds
200,Ponta Do Sol,PT,32.6667,-17.1,67.01,67,100,3.33,overcast clouds
201,Taltal,CL,-25.4,-70.4833,62.01,78,21,5.84,few clouds
202,Sao Miguel,BR,-5.4667,-35.3667,83.17,79,31,10.78,scattered clouds
203,Fukue,JP,32.6881,128.8419,55.42,66,98,24.61,overcast clouds
204,Ndele,CF,8.4109,20.6473,81.95,52,37,10.87,scattered clouds
205,Port Hardy,CA,50.6996,-127.4199,46.58,61,40,9.22,scattered clouds
206,Rawson,AR,-43.3002,-65.1023,72.28,32,5,11.92,clear sky
207,Kembe,CF,4.6228,21.8865,71.17,91,95,3.38,overcast clouds
208,Egvekinot,RU,66.3167,-179.1667,18.61,85,83,16.87,broken clouds
209,Tasiilaq,GL,65.6145,-37.6368,34.88,98,100,7.83,snow
210,Amapa,BR,1.0,-52.0,73.76,97,100,2.28,overcast clouds
211,Ancud,CL,-41.8697,-73.8203,59.23,84,41,5.1,scattered clouds
212,Vestmannaeyjar,IS,63.4427,-20.2734,47.44,83,98,34.65,overcast clouds
213,Qeshm,IR,26.9581,56.2719,80.49,64,85,1.59,overcast clouds
214,Saldanha,ZA,-33.0117,17.9442,57.25,59,6,18.1,clear sky
215,Touros,BR,-5.1989,-35.4608,80.1,82,21,9.64,few clouds
216,Sinop,TR,41.7711,34.8709,43.97,72,0,6.15,clear sky
217,Norman Wells,CA,65.282,-126.8329,12.24,52,75,13.8,broken clouds
218,Beloha,MG,-25.1667,45.05,77.4,70,82,5.12,broken clouds
219,Broken Hill,AU,-31.95,141.4333,58.71,58,1,3.44,clear sky
220,Flinders,AU,-34.5833,150.8552,63.37,91,96,3.69,overcast clouds
221,Bonavista,CA,48.6499,-53.1147,32.68,79,41,15.75,scattered clouds
222,Dzhebariki-Khaya,RU,62.2167,135.8,10.02,88,34,2.19,scattered clouds
223,Inta,RU,66.0317,60.1659,19.81,95,100,8.12,overcast clouds
224,Karema,TZ,-6.8205,30.4389,72.21,86,98,3.89,light rain
225,Pevek,RU,69.7008,170.3133,14.02,89,29,2.53,scattered clouds
226,Hauterive,FR,46.0901,3.4459,56.75,94,7,2.86,clear sky
227,Avera,US,33.194,-82.5271,77.56,43,10,8.46,clear sky
228,Beringovskiy,RU,63.05,179.3167,30.79,97,100,21.94,light snow
229,Kargasok,RU,59.0556,80.8572,39.0,88,93,8.37,overcast clouds
230,Huntley,US,42.1681,-88.4281,49.41,42,100,7.0,overcast clouds
231,Itarema,BR,-2.9248,-39.9167,78.75,82,74,6.67,broken clouds
232,Zharkent,KZ,44.1628,80.0,57.06,26,0,4.81,clear sky
233,Dalbandin,PK,28.8947,64.4101,79.57,9,6,2.33,clear sky
234,Ostrovnoy,RU,68.0531,39.5131,24.37,88,71,9.19,broken clouds
235,Chimoio,MZ,-19.1164,33.4833,71.46,100,75,0.58,broken clouds
236,Zabaykalsk,RU,49.6333,117.3167,33.24,72,88,6.85,overcast clouds
237,Purwakarta,ID,-6.5569,107.4433,77.36,90,99,2.19,overcast clouds
238,Vao,NC,-22.6667,167.4833,75.4,79,87,8.75,overcast clouds
239,Fairbanks,US,64.8378,-147.7164,37.09,35,0,16.11,clear sky
240,Lata,PT,40.1629,-8.3327,53.82,87,100,0.72,overcast clouds
241,Andra,RU,62.5147,65.8878,31.51,93,100,11.25,overcast clouds
242,Rio Branco Do Sul,BR,-25.19,-49.3142,57.81,95,0,3.31,clear sky
243,San Juan,AR,-31.5375,-68.5364,73.76,34,22,10.54,few clouds
244,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.93,55,54,6.49,broken clouds
245,Pochutla,MX,15.7432,-96.4661,89.82,47,92,8.57,overcast clouds
246,Sungaipenuh,ID,-2.0833,101.3833,65.08,96,100,1.72,overcast clouds
247,Carnarvon,AU,-24.8667,113.6333,78.91,57,46,9.82,scattered clouds
248,Fortuna,US,40.5982,-124.1573,52.86,61,0,5.75,clear sky
249,Nouakchott,MR,18.0858,-15.9785,66.13,82,0,16.2,clear sky
250,Baillif,GP,16.0202,-61.7463,80.1,74,8,15.01,clear sky
